name,category,genre,tvm,users,sessions,freq,asd
4K TV,Chill Out,Ambient,1303172,82633,143641,1.74,9.072423612
Action Movies,Movies,Movies,3760218,69340,160743,2.32,23.3927325
Advice TV,Life + Style,LifeStyle,349,30,37,1.23,9.432432432
After School Cartoons,Entertainment,Comedy,3349715,63985,131459,2.05,25.48106254
Anime All Day,Geek + Gaming,Geek/Gaming,3640763,82788,162873,1.97,22.35338577
Awesomeness TV,Entertainment,Pop Culture,327772,48745,78829,1.62,4.158012914
Bloomberg TV,News,News,1103736,51698,91273,1.77,12.09268897
Business News 24/7,News,News,535412,37326,63248,1.69,8.465279535
CBSN,News,News,9925885,124633,300652,2.41,33.01453175
Cheddar,News,News,1077526,64676,115033,1.78,9.367103353
Classic Movies Channel,Movies,Nostalgic,2312983,60312,133712,2.22,17.29824548
Classic Toons TV,Entertainment,Nostalgic,3283080,71994,143294,1.99,22.91149664
Classic TV,Entertainment,Nostalgic,1897419,62346,122386,1.96,15.5035625
Clevver,Life + Style,LifeStyle,373705,34310,55950,1.63,6.679267203
CNBC,News,News,2246233,77500,151186,1.95,14.85741405
CNET,Geek + Gaming,Geek/Gaming,1731376,52593,96582,1.84,17.92648734
CRACKED,Comedy,Pop Culture,1104404,62959,105564,1.68,10.46193778
Crime Network,Entertainment,Movies,2324785,61339,114838,1.87,20.24403943
DocuTV,Curiosity,Informational,1104816,43858,77407,1.76,14.2728177
Eye Candy,Chill Out,LifeStyle,3041608,91480,262612,2.87,11.58213638
Fail TV,Comedy,Comedy,3376971,67500,129141,1.91,26.14948777
Fear Factor,Sports,Pop Culture,4820514,72334,133645,1.85,36.06954244
Fight,Sports,Sports,1309909,56205,98182,1.75,13.34164103
Flicks of Fury,Movies,Movies,2985983,72047,153402,2.13,19.4650852
Food TV,Life + Style,LifeStyle,3217993,49810,102115,2.05,31.51342114
Funny AF,Comedy,Comedy,14038814,216753,336027,1.55,41.7788273
Geek & Sundry,Geek + Gaming,Geek/Gaming,1185973,43221,83017,1.92,14.2859053
GLORY Kickboxing,Sports,Sports,1632289,47152,89569,1.9,18.22381628
Gravitas Movies,Movies,Movies,1954139,64970,126336,1.94,15.46779224
Hive,Geek + Gaming,Geek/Gaming,1370173,59369,104480,1.76,13.11421325
Horror 24/7,Movies,Movies,7270462,78791,211704,2.69,34.3425821
IGN,Geek + Gaming,Geek/Gaming,1846406,63700,112028,1.76,16.48164745
Internet Gold,Chill Out,Pop Culture,1189030,53071,93756,1.77,12.68217501
Kids TV,Entertainment,LifeStyle,1982129,56977,106161,1.86,18.67097145
Live Music Replay,Entertainment,LifeStyle,929806,48895,84614,1.73,10.98879618
Man Up,Chill Out,LifeStyle,3147802,63851,134715,2.11,23.36638088
MinecrafTV,Geek + Gaming,Geek/Gaming,1340619,45154,77624,1.72,17.27067659
MST3K,Comedy,Movies,11336592,80436,227022,2.82,49.9360943
My Pluto 1,Pluto,Pluto,535047,58677,73307,1.25,7.298716357
My Pluto 2,Pluto,Pluto,281821,32693,39312,1.2,7.168828856
NASA TV,Curiosity,Informational,516404,64658,99341,1.54,5.198296776
NatureVision TV,Chill Out,Ambient,1509002,63083,113486,1.8,13.29681194
NBC News & MSNBC,News,News,8614990,107275,261433,2.44,32.95295544
Nerdist,Geek + Gaming,Geek/Gaming,853716,50917,89485,1.76,9.540325194
News 24/7,News,News,15678491,241805,641966,2.65,24.42261895
NewsmaxTV,News,News,1501889,66869,135695,2.03,11.06812336
Newsy,News,News,1323648,61163,123688,2.02,10.70150702
People/EW Network,Life + Style,LifeStyle,435633,36258,58249,1.61,7.478806503
POPSUGAR,Life + Style,LifeStyle,703081,39666,66885,1.69,10.51178889
Pro-Wrestling,Sports,Sports,5221208,85506,169396,1.98,30.82249876
RiffTrax,Comedy,Comedy,7321989,65155,182188,2.8,40.18919468
RocketJump,Entertainment,Pop Culture,236130,37186,58549,1.57,4.033032161
RT America,News,News,3851686,68733,167965,2.44,22.93147977
Science TV,Curiosity,Informational,1607494,49961,90957,1.82,17.67312027
Shout! Factory TV,Entertainment,Nostalgic,1055180,54838,97364,1.78,10.83747586
Sky News,News,News,3464648,87146,191899,2.2,18.05453911
Slow TV,Chill Out,Ambient,2094435,63019,116398,1.85,17.99373701
Sports News,Sports,Sports,723880,45579,74415,1.63,9.727608681
Stand-up TV,Comedy,Comedy,2896434,62094,120456,1.94,24.04557681
Tastemade,Life + Style,LifeStyle,826327,34241,63019,1.84,13.11234707
THC,Chill Out,LifeStyle,1586892,61556,119817,1.95,13.24429755
The Feed,Geek + Gaming,Geek/Gaming,1688024,63359,106882,1.69,15.79334219
The Onion,Comedy,Comedy,485886,55515,88160,1.59,5.511411071
The Weather Network,News,News,1148234,74717,128471,1.72,8.937690218
Todays Top Story,News,News,2999784,100069,183419,1.83,16.35481602
TYT Network,News,News,2503569,66393,133315,2.01,18.77934966
WHAT?!,Entertainment,Pop Culture,1048483,44627,78594,1.76,13.34049673
Whats On Pluto,Pluto,Pluto,1564507,100997,146145,1.45,10.70516952
World Poker Tour,Sports,Sports,5693256,44167,109075,2.47,52.19579189
XiveTV,Curiosity,Informational,3736670,46373,101335,2.19,36.87442641
Xtreme Sports Channel,Sports,Sports,959534,54194,89053,1.64,10.77486441